Animal ID	year	species	common name	species abbrev	sex	age	age_bin	sample_date	PDV_titer	PDV_result
12-020	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-021	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	5/22/2012	8	pos
12-023	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-027	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-028	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-029	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-030	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-031	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-032	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-033	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-034	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-035	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/1/2012	 <8	neg
12-036	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/13/2012	32	pos
12-037	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/13/2012	8	pos
12-038	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/13/2012	16	pos
12-039	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	7/3/2012	32	pos
12-040	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/13/2012	32	pos
12-041	2012	Phoca vitulina	Harbor seal	Pv	Unknown	pup	FY	6/13/2012	8	pos
